"Country,",Total,New,,New,Total,Active,"Serious,",Tot Cases/,Tot Deaths/,,,,,,
Other,Cases,Cases,,Deaths,Recovered,Cases,Critical,1M pop,1M pop,,,,,,
DRC,51,,,,,48,,1,0,,,,,,
Rwanda,50,,,,,50,,4,,,,,,,
Bangladesh,44,,,,11,28,1,0,0,,,,,,
Kyrgyzstan,44,,,,,44,,7,,,,,,,
Paraguay,41,,,,,38,1,6,0,,,,,,
Mayotte,36,,,,,36,,132,,,,,,,
Gibraltar,35,,,,13,22,,1039,,,,,,,
Macao,33,,,,10,23,,51,,,,,,,
Monaco,33,,,,1,32,,841,,,,,,,
Kenya,31,,,,1,29,,1,0,,,,,,
French Polynesia,30,,,,,30,,107,,,,,,,
Aruba,28,,,,1,27,,262,,,,,,,
French Guiana,28,,,,6,22,,94,,,,,,,
Jamaica,26,,,,2,23,,9,0,,,,,,
Guatemala,25,,,,4,20,,1,0,,,,,,
Isle of Man,25,,,,,25,,294,,,,,,,
Barbados,24,,,,,24,,84,,,,,,,
Togo,24,,,,1,23,,3,,,,,,,
Madagascar,23,,,,,23,,1,,,,,,,
Zambia,16,,,,,16,,1,,,,,,,
Bermuda,15,,,,2,13,,241,,,,,,,
New Caledonia,14,,,,,14,,49,,,,,,,
Uganda,14,,,,,14,,0,,,,,,,
El Salvador,13,,,,,13,,2,,,,,,,
Maldives,13,,,,8,5,,24,,,,,,,
Tanzania,13,,,,,13,,0,,,,,,,
Equatorial Guinea,12,,,,,12,,9,,,,,,,
Ethiopia,12,,,,,12,,0,,,,,,,
Djibouti,11,,,,,11,,11,,,,,,,
Dominica,11,,,,,11,,153,,,,,,,
Mongolia,11,,,,,11,,3,,,,,,,
Saint Martin,11,,,,,11,,284,,,,,,,
Niger,10,,,,,9,,0,0,,,,,,
Bahamas,9,,,,1,8,,23,,,,,,,
Cayman Islands,8,,,,,7,,122,15,,,,,,
Haiti,8,,,,,8,,1,,,,,,,
Namibia,8,,,,2,6,,3,,,,,,,
Suriname,8,,,,,8,,14,,,,,,,
Curaçao,7,,,,2,4,,43,6,,,,,,
Gabon,7,,,,,6,,3,0,,,,,,
Antigua and Barbuda,7,,,,,7,,71,,,,,,,
Grenada,7,,,,,7,,62,,,,,,,
Mozambique,7,,,,,7,,0,,,,,,,
Seychelles,7,,,,,7,,71,,,,,,,
Benin,6,,,,,6,,1,,,,,,,
Eritrea,6,,,,,6,,2,,,,,,,
Greenland,6,,,,2,4,,106,,,,,,,
Laos,6,,,,,6,,1,,,,,,,
Eswatini,6,,,,,6,,5,,,,,,,
Cabo Verde,5,,,,,4,,9,2,,,,,,
Guyana,5,,,,,4,,6,1,,,,,,
Fiji,5,,,,,5,,6,,,,,,,
Montserrat,5,,,,,5,,1002,,,,,,,
Myanmar,5,,,,,5,,0,,,,,,,
Syria,5,,,,,5,,0,,,,,,,
Angola,4,,,,,4,,0,,,,,,,
Congo,4,,,,,4,,1,,,,,,,
Guinea,4,,,,,4,,0,,,,,,,
Vatican City,4,,,,,4,,4994,,,,,,,
Mali,4,,,,,4,,0,,,,,,,
Gambia,3,,,,,2,,1,0,,,,,,
Sudan,3,,,,,2,,0,0,,,,,,
Zimbabwe,3,,,,,2,,0,0,,,,,,
Nepal,3,,,,1,2,,0,,,,,,,
CAR,3,,,,,3,,1,,,,,,,
Chad,3,,,,,3,,0,,,,,,,
Liberia,3,,,,,3,,1,,,,,,,
Mauritania,3,,,,,3,,1,,,,,,,
St. Barth,3,,,,,3,,304,,,,,,,
Saint Lucia,3,,,,1,2,,16,,,,,,,
Sint Maarten,3,,,,,3,,70,,,,,,,
Anguilla,2,,,,,2,,133,,,,,,,
Belize,2,,,,,2,,5,,,,,,,
Bhutan,2,,,,,2,,3,,,,,,,
British Virgin Islands,2,,,,,2,,66,,,,,,,
Guinea-Bissau,2,,,,,2,,1,,,,,,,
Nicaragua,2,,,,,2,,0,,,,,,,
Saint Kitts and Nevis,2,,,,,2,,38,,,,,,,
Somalia,2,,,,,2,,0,,,,,,,
Turks and Caicos,2,,,,,2,,52,,,,,,,
Libya,1,,,,,1,,0,,,,,,,
Papua New Guinea,1,,,,,1,,0,,,,,,,
St. Vincent Grenadines,1,,,,,1,,9,,,,,,,
Timor-Leste,1,,,,,1,,1,,,,,,,
Total:,531864,55,,5,123942,383849,19357,68,3,,,,,,
